DATA_ATIVACAO;NUN_NTC;TIPO_OPERACAO;PLANO;COD_MOBILE;MES_REFERENCIA;VALIDO_COMISSAO;VALOR_COMISSAO;COD_IRREG;ARQUIVO;DATA_ESTORNO;PENDENCIA;VALOR_FRANQUIA;SIMCARD;COD_QUINZENA;STATUS_GED;NTC_ANTERIOR;PLANO_ANTERIOR;NUM_CHAMADO;CONTRATO_EBT_NET;;CLASSIFICACAO_PGTO;FRANQUIA_ANTERIOR;VALOR_DELTA;VALOR_FATOR;DAT_DIGITALIZACAO;DSC_NOME_PLANO;;;;;
44950;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;89341520089;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID;;;;;
44951;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;89341520127;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID;;;;;
44952;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;89341520275;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID;;;;;
44953;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;89341520623;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID;;;;;
44953;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;89341520712;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID;;;;;
44942;0;BANDA LARGA FIXA;VIRTUA 500 MB;CLRZ;202301;t;375;0;FT_COMISSIONAMENTO;;OK;124.9;'';P2;AUDIO_CONEXAO;;;;91380375821;;PREMIUM;;;3;;BL 500M SINGLE OU C/ FONE FID;;;;;
44945;0;FONE FIXO;FONE PME;CLRZ;202301;t;120;0;FT_COMISSIONAMENTO;;OK;40;'';P2;AUDIO_CONEXAO;;;;91380376429;;PREMIUM;;;3;;ILIM BRASIL TOTAL EMP PME 1L;;;;;
44945;0;BANDA LARGA FIXA;VIRTUA 300 MB;CLRZ;202301;t;345;0;FT_COMISSIONAMENTO;;OK;115;'';P2;AUDIO_CONEXAO;;;;91380376429;;PREMIUM;;;3;;BL 400M EMP PME CNPJ FID;;;;;
44947;0;BANDA LARGA FIXA;VIRTUA 300 MB;CLRZ;202301;t;345;0;FT_COMISSIONAMENTO;;OK;115;'';P2;AUDIO_CONEXAO;;;;91380377182;;PREMIUM;;;3;;BL 300M EMP PME CNPJ FID;;;;;
44952;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;91380379002;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID;;;;;
44956;0;FONE FIXO;FALE ILIMITADO BRASIL TOTAL;CLRZ;202301;t;90;0;FT_COMISSIONAMENTO;;OK;30;'';P2;AUDIO_CONEXAO;;;;91380379258;;PREMIUM;;;3;;FONE ILIM BR TOTAL 30.00;;;;;
44956;0;BANDA LARGA FIXA;VIRTUA 350 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;91380379258;;PREMIUM;;;3;;BL 350M COMBINADO FID;;;;;
44956;0;TV;CLARO TV MAIS BOX;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;91380379258;;PREMIUM;;;3;;CLARO STREAMING HD TVMAIS TOP VOZ STX;;;;;
44956;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202301;t;52;0;BONUS TV;;OK;104.9;'';P2;;;;;91380379258;;PREMIUM;;;1;;CLARO TV MAIS BOX;;;;;
44956;0;BANDA LARGA FIXA;VIRTUA 500 MB;CLRZ;202301;t;375;0;FT_COMISSIONAMENTO;;OK;124.9;'';P2;AUDIO_CONEXAO;;;;91380379339;;PREMIUM;;;3;;BL 500M SINGLE OU C/ FONE FID;;;;;
44950;0;FONE FIXO;FONE PME;CLRZ;202301;t;120;0;FT_COMISSIONAMENTO;;OK;40;'';P2;AUDIO_CONEXAO;;;;93301448056;;PREMIUM;;;3;;ILIM BRASIL TOTAL EMP PME 1L;;;;;
44950;0;BANDA LARGA FIXA;VIRTUA 600 MB;CLRZ;202301;t;345;0;FT_COMISSIONAMENTO;;OK;115;'';P2;AUDIO_CONEXAO;;;;93301448056;;PREMIUM;;;3;;BL 600M EMP PME C/CEL OU FONE CNPJ FID;;;;;
44952;0;BANDA LARGA FIXA;VIRTUA 125 MB;CLRZ;202301;t;255;0;FT_COMISSIONAMENTO;;OK;84.9;'';P2;AUDIO_CONEXAO;;;;93301448315;;PREMIUM;;;3;;BL 125M COMBINADO FID;;;;;
44952;0;TV;CLARO TV MAIS BOX;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;93301448315;;PREMIUM;;;3;;CLARO STREAMING HD TVMAIS TOP VOZ STX;;;;;
44952;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202301;t;52;0;BONUS TV;;OK;104.9;'';P2;;;;;93301448315;;PREMIUM;;;1;;CLARO TV MAIS BOX;;;;;
44950;0;FONE FIXO;FALE ILIMITADO BRASIL TOTAL;CLRZ;202301;t;90;0;FT_COMISSIONAMENTO;;OK;30;'';P2;AUDIO_CONEXAO;;;;193002218413;;PREMIUM;;;3;;FONE ILIM BR TOTAL 30.00;;;;;
44950;0;BANDA LARGA FIXA;VIRTUA 125 MB;CLRZ;202301;t;255;0;FT_COMISSIONAMENTO;;OK;84.9;'';P2;AUDIO_CONEXAO;;;;193002218413;;PREMIUM;;;3;;BL 125M SINGLE OU C/ FONE FID;;;;;
44944;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;278001763260;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID;;;;;
44946;0;FONE FIXO;FALE ILIMITADO BRASIL TOTAL;CLRZ;202301;t;90;0;FT_COMISSIONAMENTO;;OK;30;'';P2;AUDIO_CONEXAO;;;;278001763391;;PREMIUM;;;3;;FONE ILIM BR TOTAL 30.00;;;;;
44951;0;BANDA LARGA FIXA;VIRTUA 350 MB;CLRZ;202301;f;0;117;FT_COMISSIONAMENTO;;CANCELAMENTO OCORREU EM ATE 30 DIAS;0;'';P2;AUDIO_CONEXAO;;;;278001765050;;PREMIUM;;;3;;BL 350M COMBINADO FID;;;;;
44951;0;TV;CLARO TV MAIS BOX;CLRZ;202301;f;0;117;FT_COMISSIONAMENTO;;CANCELAMENTO OCORREU EM ATE 30 DIAS;0;'';P2;AUDIO_CONEXAO;;;;278001765050;;PREMIUM;;;3;;CLARO STREAMING HD TVMAIS TOP VOZ STX;;;;;
