"DATA_ATIVACAO";"NUN_NTC";"TIPO_OPERACAO";"PLANO";"COD_MOBILE";"MES_REFERENCIA";"VALIDO_COMISSAO";"VALOR_COMISSAO";"COD_IRREG";"ARQUIVO";"DATA_ESTORNO";"PENDENCIA";"VALOR_FRANQUIA";"SIMCARD";"COD_QUINZENA";"STATUS_GED";"NTC_ANTERIOR";"PLANO_ANTERIOR";"NUM_CHAMADO";"CONTRATO_EBT_NET";"CLASSIFICACAO_PGTO";"FRANQUIA_ANTERIOR";"VALOR_DELTA";"VALOR_FATOR";"DAT_DIGITALIZACAO";"DSC_NOME_PLANO"
"2023-03-04 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 500 MB";"CLRZ";"202303";"t";"374,7";"0";"FT_COMISSIONAMENTO";"";"OK";"124.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"091380389687";"PREMIUM";"";"";"3";"";"BL 500M SINGLE OU C/ FONE FID"
"2023-03-04 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 350 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"091380389776";"PREMIUM";"";"";"3";"";"BL 350M COMBINADO FID"
"2023-03-04 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"091380389601";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-10 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 125 MB";"CLRZ";"202303";"t";"254,7";"0";"FT_COMISSIONAMENTO";"";"OK";"84.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375132123";"PREMIUM";"";"";"3";"";"BL 125M SINGLE OU C/ FONE FID"
"2023-03-10 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375132220";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-13 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"086366710410";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-11 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 125 MB";"CLRZ";"202303";"t";"254,7";"0";"FT_COMISSIONAMENTO";"";"OK";"84.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"089341527474";"PREMIUM";"";"";"3";"";"BL 125M SINGLE OU C/ FONE FID"
"2023-03-13 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"749001430670";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID"
"2023-03-02 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"089341526524";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID"
"2023-03-09 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"749001430182";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID"
"2023-03-08 00:00:00";"0";"FONE FIXO";"FONE PME";"CLRZ";"202303";"t";"120";"0";"FT_COMISSIONAMENTO";"";"OK";"40";"''";"P1";"AUDIO_CONEXAO";"";"";"";"089341528012";"PREMIUM";"";"";"3";"";"ILIM BRASIL TOTAL EMP PME 1L"
"2023-03-15 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 125 MB";"CLRZ";"202303";"t";"254,7";"0";"FT_COMISSIONAMENTO";"";"OK";"84.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"089341529345";"PREMIUM";"";"";"3";"";"BL 125M SINGLE OU C/ FONE BWF PON FID"
"2023-03-02 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"884623228431";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-08 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"091380390529";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-06 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"086366703731";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID"
"2023-03-10 00:00:00";"0";"TV";"CLARO TV MAIS BOX";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375129580";"PREMIUM";"";"";"3";"";"CLARO STREAMING HD TVMAIS TOP VOZ STX"
"2023-03-08 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"086366703723";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID"
