DATA_ATIVACAO;NUN_NTC;TIPO_OPERACAO;PLANO;COD_MOBILE;MES_REFERENCIA;VALIDO_COMISSAO;VALOR_COMISSAO;COD_IRREG;ARQUIVO;DATA_ESTORNO;PENDENCIA;VALOR_FRANQUIA;SIMCARD;COD_QUINZENA;STATUS_GED;NTC_ANTERIOR;PLANO_ANTERIOR;NUM_CHAMADO;CONTRATO_EBT_NET;CLASSIFICACAO_PGTO;FRANQUIA_ANTERIOR;VALOR_DELTA;VALOR_FATOR;DAT_DIGITALIZACAO;DSC_NOME_PLANO
12/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;203001321747;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID
13/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 500 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;213001103630;PREMIUM;;;3;;BL 500M SINGLE OU C/ FONE BWF PON FID
13/01/2023 00:00;0;COMISSOES ADICIONAIS;PLUGIN CIDADES ACELERACAO;CLRZ;202301;t;36,71;0;PLUGIN CIDADES ACELERACAO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;213001103630;PREMIUM;;;0,35;;VIRTUA 500 MB
04/01/2023 00:00;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202301;t;52,45;0;BONUS TV;;OK;104.9;'';P1;;;;;278001760465;PREMIUM;;;0,5;;CLARO TV MAIS BOX
04/01/2023 00:00;0;TV;CLARO TV MAIS BOX;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;278001760465;PREMIUM;;;3;;CLARO STREAMING HD TVMAIS TOP VOZ STX
03/01/2023 00:00;0;TROCA DE PLANO UR;EQUIVALENCIA DE PLANO UR;CLRZ;202301;t;10;0;FT_COMISSIONAMENTO;;OK;99.9;'';P1;AUDIO_CONEXAO;;;;278001760465;PREMIUM;99,9;0;3,5;;BL 250M COMBINADO FID
04/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;278001761313;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID
21/12/2022 00:00;0;ESTORNO;FONE PME;CLRZ;202301;t;-120;0;CANCELAMENTO 30 DIAS;;OK;0;'';P1;AUDIO_CONEXAO;;;;363002580549;PREMIUM;;;3;;ILIM BRASIL TOTAL EMP PME 1L
09/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 350 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;379001234470;PREMIUM;;;3;;BL 350M COMBINADO BWF PON FID
12/01/2023 00:00;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202301;t;52,45;0;BONUS TV;;OK;104.9;'';P1;;;;;380001006832;PREMIUM;;;0,5;;CLARO TV MAIS BOX
12/01/2023 00:00;0;TV;CLARO TV MAIS BOX;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;380001006832;PREMIUM;;;3;;CLARO STREAMING HD TVMAIS TOP VOZ STX
11/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 125 MB;CLRZ;202301;t;254,7;0;FT_COMISSIONAMENTO;;OK;84.9;'';P1;AUDIO_CONEXAO;;;;531010593188;PREMIUM;;;3;;BL 125M SINGLE OU C/ FONE FID
12/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 500 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;570001040244;PREMIUM;;;3;;BL 500M SINGLE OU C/ FONE BWF PON FID
14/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 500 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;570001040279;PREMIUM;;;3;;BL 500M SINGLE OU C/ FONE BWF PON FID
05/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;749001419383;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID
06/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;749001419731;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID
07/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;749001419987;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID
11/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;749001420268;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID
14/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 500 MB;CLRZ;202301;t;374,7;0;FT_COMISSIONAMENTO;;OK;124.9;'';P1;AUDIO_CONEXAO;;;;749001421060;PREMIUM;;;3;;BL 500M SINGLE OU C/ FONE BWF PON FID
04/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;996375102585;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID
06/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;996375102844;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID
05/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;996375102909;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID
10/01/2023 00:00;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202301;t;52,45;0;BONUS TV;;OK;104.9;'';P1;;;;;996375103204;PREMIUM;;;0,5;;CLARO TV MAIS BOX
10/01/2023 00:00;0;TV;CLARO TV MAIS BOX;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;996375103204;PREMIUM;;;3;;CLARO STREAMING HD TVMAIS TOP VOZ STX
13/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;996375105991;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID
